主题,赞成数,反对数,留言数,持续时长
A市经济学院寒假过年期间组织学生去工厂工作,2,13,10,896.0
请A市加快地铁的建设,12,2,61,350.0
A市暮云街道丽发新城社区附近搅拌站噪音污染严重,6,4,65,223.0
A市丽发新城小区附近搅拌站噪音扰民和污染环境,8,0,49,373.0
A7县泉塘小区麻将馆扰民,4,0,58,254.0
投诉小区附近搅拌站噪音扰民,24,0,67,143.0
请加快省图书馆的建设力度,0,0,49,295.0
丽发新城小区附近搅拌站的一些问题,0,0,53,253.0
咨询A市人才购房补贴事宜,2,0,42,328.0
请问A市地铁3号线什么时候开通？,116,2,53,206.0
投诉伊景园滨河苑捆绑销售车位问题,0,0,58,131.0
A市地铁3号线星沙大道站地铁出入口设置极不合理！,9,0,48,199.0
坚决反对伊景园滨河苑强制捆绑销售车位,34,1,55,115.0
咨询A7县道路规划的问题,5,9,50,164.0
A市地铁6号线半夜施工的噪音巨大,1,0,45,191.0
A7县的山林补贴和生态补贴何时发放？,44,4,30,326.0
咨询A市人才新政落户等相关问题,1,1,46,145.0
咨询A市人才购房补贴通知问题,1,0,37,216.0
A2区丽发新城附近修建搅拌厂，严重污染环境,1,0,33,255.0
反映A4区月湖公园建设拆迁安置的问题,32,0,25,325.0
请A市加快申报国家中心城市的建设,8,0,29,275.0
关于伊景园滨河苑捆绑销售车位的维权投诉,0,0,56,1
A2区丽发新城附近修建搅拌厂噪音、灰尘污染,5,0,43,122.0
咨询A市第二套房购房资格的问题,1,0,31,240.0
请A市加快基础设施建设全覆盖,30,0,28,262.0
A市伊景园滨河苑定向限价商品房项目违规捆绑销售车位,24,1,49,52.0
A7县楚龙街道南塘路交通状况整治问题,1,0,18,359.0
A市暮云街道丽发新城社区搅拌站灰尘，噪音污染严重,0,0,54,1
A市暮云街道丽发新城社区搅拌站灰尘，噪音污染严重,0,0,54,1
A市深业喜汇房屋存在质量问题,5,0,23,308.0
A市万科金域蓝湾烟道严重影响居民生活,0,1,36,178.0
反映A3区保利西海岸小区幼儿园的问题,6,0,22,315.0
A4区金鹰小学附近一工地夜间施工扰民,0,0,38,155.0
A4区五一大道一酒吧噪音严重影响居民休息,2,0,19,339.0
A5区魅力之城小区一楼被搞成商业门面，噪音扰民严重,1,0,38,143.0
A5区左家塘街道嘉园社区麻将馆扰民,0,0,19,331.0
A市A5区桃花苑二期房屋存在质量安全问题！,1,0,32,201.0
A7县泉塘小塘路路灯太暗，建议提质改造,7,0,19,326.0
A3区金麓小区门面占道经营，油烟扰民,6,3,32,193.0
投诉A市保利大都汇虚假宣传,39,6,29,221.0
无视消费者权益的A市伊景园滨河苑车位捆绑销售行为,0,0,45,63.0
投诉A市伊景园滨河苑定向限价商品房违规涨价,0,0,38,130.0
A市伊景园滨河苑项目捆绑销售车位,0,0,51,1
西地省人民医院凌晨施工扰民,11,3,24,263.0
A6区停水问题很严重,2,0,31,191.0
万科魅力之城小区底层门店深夜经营，各种噪音扰民,9,5,26,239.0
A市丽发小区建搅拌站，噪音污染严重,0,0,50,1
咨询A市购房政策的社保缴纳相关问题,0,0,50,1
A7县春华镇的路灯何时能装好？,2,0,20,292.0
西地省科技职业技术学院女生宿舍，条件极差,0,0,15,340.0
A市汽车南站过渡站居民出行怎么办？,35,0,13,354.0
加快A市国王陵考古公园建设刻不容缓,8,0,23,254.0
A市万家丽南路丽发新城居民区附近搅拌站扰民,1,0,43,55.0
咨询A市住房资格的相关问题,2,0,48,1
惊！！A市伊景园滨河苑商品房竟然捆绑销售车位,0,0,48,1
咨询A3区现行买房落户政策,2,1,17,307.0
请加快A市控烟整治力度,61,3,32,154.0
A市五矿万境水岸三期违规建设使用垃圾站,0,1,14,335.0
A3区西湖街道茶场村五组是如何规划的？,2,0,19,280.0
请A市加快高铁西站的建设力度,3,0,47,1
中建嘉和城存在严重设计问题,12,0,15,317.0
A市自来水公司乱收费，随意停水,7,0,14,327.0
A7县住房公积金扣缴政策不合理,0,0,13,336.0
请求A2区社保中心尽快将我的资料以及社保资金转出,1,0,19,276.0
咨询A市装修核价的相关问题,19,0,29,175.0
A7县星沙镇四区凉塘路改造何时可以开始？,8,2,15,314.0
反映A市美麓阳光楼盘质量问题和停工问题,1,0,14,323.0
A市A3区中海国际社区三期与四期中间空地夜间施工噪音扰民,10,0,23,233.0
A市江山帝景新房脏乱差，有安全隐患,14,0,18,282.0
A市树木岭锦源小区附近工地噪音扰民,0,0,24,223.0
咨询A市地铁3号线星沙文体中心站出口设置问题,28,2,18,281.0
A2区南湖公寓旁边的工地施工扰民,0,0,26,200.0
A2区北辰中央公园夜间施工扰民,0,0,29,170.0
A市A2区丽发新城小区附近搅拌站明目张胆污染环境,0,0,46,1
请A市加快现代服务业中心城市建设,0,0,22,236.0
A市温斯顿英语培训机构退费怎么这么难？,17,2,20,253.0
A市万科魅力之城开发商未通知业主就进行车位开盘销售活动,1,0,19,263.0
A7县泉塘街道橄榄城违建的事一直得不到解决,13,0,15,301.0
A3区高心麓城小区配套幼儿园无证办学且拒绝转成普惠制幼儿园,51,1,21,239.0
投诉A市电子科技职业学院要求学生办各种银行卡,4,0,12,329.0
咨询A市人才购房补助发放问题,0,0,34,111.0
A市赤岗岭地铁站晚上工地施工扰民严重,0,0,24,210.0
反映A3区惟盛园安置小区不合理收费问题,5,0,18,269.0
A7县智慧桥幼儿园拒绝按照普惠性幼儿园标准收费,48,0,22,227.0
举报广铁集团在伊景园滨河苑项目非法绑定车位出售,0,0,45,1
A7县星沙恒大翡翠华庭高层开设麻将馆非法聚众赌博扰民,4,0,13,316.0
举报A市A3区星蓝湾小区第二界业委会违规,2,1,12,325.0
A市鑫源悦城存在严重安全隐患,1,0,17,273.0
A市万科金域蓝湾新房的质量堪忧,62,5,23,207.0
A市中海国际社区能考虑建地铁口吗？,8,0,22,219.0
反映A7县榔梨镇地铁6号线拆迁补偿问题,2,1,44,1
投诉A市麓谷小镇物业停车费收取不合理,18,5,16,277.0
西地省商学院南门至咸嘉湖路经常被违停车辆占道！,1,0,17,267.0
A市西湖建筑集团占道施工有安全隐患,0,0,17,267.0
西地省原中交驾校现机电驾校拖延不退费,5,0,17,266.0
A4区北辰小区非法住改商问题何时能解决？,22,2,23,205.0
A市丽发新城旁商品交易市场严重影响了家长送孩子们上学,13,0,14,290.0
A市地铁4号线树木岭站的1号出入口为啥还不启用,0,0,19,240.0
反映A7县楚龙街道楚核星城居民房屋安全问题,4,0,14,288.0
咨询高铁票乘车区间的问题,0,0,12,305.0
请给A4区捞刀河镇高岭村民补偿安置,7,0,8,344.0
A市沙湾路上的红绿灯设置不合理,2,0,19,235.0
A8县市中梁首府业主请求维权,0,0,19,234.0
A2区佳兆业水新都小区垃圾无人处理,0,0,8,343.0
投诉A市温斯顿英语培训学校拖延退费！,2,0,20,223.0
举报A1区老地方美食广场虚假招商,11,1,9,331.0
咨询A市公积金贷款买房的问题,4,7,28,140.0
A市明达中学附近快递点收费高,4,1,6,358.0
咨询A市人才购房及购房补贴实施办法等相关问题,0,0,42,1
A市通商食品贸易有限公司恶意拖欠员工工资,30,2,16,256.0
反映A市长郡A1区实验中学素质教育问题,5,3,13,287.0
A市美麓阳光建设无故停工,9,0,7,346.0
投诉A7县龙塘安置小区KTV噪音扰民严重,6,0,20,216.0
A市新东方建筑公司云顶梅溪湖项目部拖欠民工工资,0,0,8,335.0
建议A市210路公交车早上开空调,3,0,6,353.0
A8县国有房屋征收中的土地上未登记建筑认定标准是什么？,0,0,6,353.0
A市2017年出租车油补何时发放？,5,0,9,322.0
关于加快A市房产证办理速度的建议,1,0,12,292.0
请求解决A市湖开小区市民用水的问题,1,1,10,311.0
广铁集团强制职工购房时捆绑购买车位,0,0,40,13.0
在A市补缴医保为何必须本地户口？,1,0,12,290.0
A4区英祥春天小区一楼被搞成商业门面，噪音扰民严重,0,0,9,319.0
A5区保障住房小区地下停车位问题何时可以解决,0,0,8,328.0
A7县楚龙街道红树湾小区的消防设施瘫痪了,14,0,21,197.0
反映A4区高岭村农村集体产权制度中集体经济成员的认定问题,7,0,6,346.0
请解决A7县松雅湖烂尾问题,14,0,18,226.0
咨询A5区洞井镇鄱阳村拆迁安置房问题,0,0,15,256.0
A市梅溪湖梅岭国际配套幼儿园要拖延到何时？,3,0,29,116.0
请对A市中山路进行改造升级,7,0,9,314.0
咨询A市士官转业异地安置时间计算问题,21,0,14,263.0
投诉西地省通万建设集团拖欠70多名农民工工资,6,0,11,293.0
A3区青山镇青青家园1小区水压特别小,0,0,12,282.0
A市绿地城际空间站建筑质量太差了,19,0,13,271.0
A市139区间线怎么还在停运,0,0,8,321.0
A市205路公交车经常不按时发车,1,0,12,281.0
A市农商行乱扣月供，谁来管！,9,2,8,320.0
反映A1区星典时代小区维修基金的问题,0,0,10,299.0
A市地铁1号线北延线何时开工？,3,0,40,1
车位属于业主所有，不应该被捆绑销售！,2,0,40,1
"丽发新城小区噪音大粉尘大,求撤走搅拌站",1,0,40,1
A市伊景园滨河苑诈骗钱财,0,0,40,1
建议增加A市火车站到星沙的夜间公交车,17,0,21,186.0
请A市加快大气污染防治工作的力度,0,0,20,196.0
A3区大道人行横道问题，建议早日解决,2,2,10,295.0
A2区A1区路快速通道改造施工噪音严重影响休息,1,1,14,255.0
A市星沙八医院不负责,18,0,6,333.0
A市居住凭证上牌一事的咨询,1,0,9,304.0
给A7县松雅湖发展与交通安全问题的相关建议,39,7,17,222.0
A3区白鹭郡小区移动手机信号极差,1,0,7,323.0
反映A2区富绿新村的架空层、出入口的问题,2,0,8,313.0
A7县松雅湖设计有问题，婴儿车不方便出入,3,3,9,302.0
反映A5区圭塘路五矿万境水岸路段拥堵及执法不为问题,5,1,17,222.0
请解决A4区凯乐国际城周边道路乱停车问题,1,0,16,231.0
反映A3区西湖街道茶场村拆迁问题,0,0,28,112.0
A6区新城国际花都精装重新核价由谁负责何时完成？,0,0,12,269.0
A市内道路坑洼多且深,6,1,6,328.0
A市五矿万境K9县交房后仍存在诸多问题,0,0,16,229.0
A市长郡A1区实验中学组织学生补课,0,0,30,90.0
A市湖楚财富不兑付2千出借人的钱,0,0,7,318.0
A2区富康小区楼顶垃圾满天飞，无人管理！,0,1,7,318.0
关于A市建筑工程师证网上如何查询,2,1,6,327.0
A2区政府拆迁项目4年半还没交房,0,0,18,208.0
A2区南苑花园小区3栋麻将馆严重影响同栋居民,0,0,8,307.0
A市新桥沁园夜宵街扰民严重,2,1,11,277.0
A市社区巴士7号线特别难等,10,4,12,266.0
A市万科魅力之城小区近百户楼板开裂墙面开裂,9,0,12,266.0
A2区书院路“荣盛花语书苑”4栋业主维权,0,0,10,285.0
长株潭一体化了，为何B市C市的老百姓购房限购,33,0,10,283.0
A市A2区龙湾国际社区违建严重,0,0,14,245.0
举报湖楚财富及两大国资委侵吞百姓血汗钱,4,0,7,314.0
A1区恒大江湾二期工地长期在晚上施工扰民,1,0,15,234.0
A8县市交警大队车管所快赔中心民警处理事故划分责任不公正,10,0,5,332.0
给A市两处道路的优化建议,14,0,17,210.0
投诉A市盛世耀凯小区物业无故停水,0,0,9,290.0
请加快A6区桃花井社区配套功能建设力度,2,0,29,91.0
A市梅溪湖街道旭辉御府电梯频繁关人,1,0,19,190.0
投诉A市伊景园滨河苑定向限价商品房违规涨价,0,0,38,1
A3区麓谷保利小区经常性停水，居民生活困难,2,0,10,278.0
建议进一步优化A市经开区泉星公园项目规划,91,1,21,164.0
A市五矿万境K9县存在严重的消防安全隐患,2100,0,14,130.0
A市梅溪湖安置房质量差，威胁人身安全,17,0,16,217.0
A2区暮云街道暮云新村的复垦费何时下发？,2,1,23,148.0
A3区山王家湾新修路边一歌厅扰民,0,0,8,295.0
A5区嘉华地产汇金期三期电梯存在质量问题,2,0,7,304.0
请清理A3区咸嘉新村西子园的非法托管中心,0,0,6,314.0
反映A市理工大学教职工宿舍的住房安全问题,1,0,7,304.0
要求A市公安局A3区分局依法追究罗明故意伤害案,3,0,5,323.0
A市梅溪湖梅岭国际二期违规变更规划，拖延建设,3,0,23,144.0
反映A市洋湖新城和顺路洋湖壹号小区路段公共绿地建设不到位的问题,1,0,4,331.0
A市楚江财富金融中心未达标就交房了,7,2,6,309.0
A3区A3区大道晚上10点后有很多货车通行，附近居民无法入睡,1,0,5,319.0
A1区地铁五号线马王堆站经常超时作业，影响居民正常休息,13,0,15,219.0
关于房伊景园滨河苑销售若干问题的投诉,3,0,37,1
关于A市武广新城违法捆绑销售车位的投诉,0,0,37,1
A4区秀峰街道大塘村陈家冲组组长私占良田污染环境,0,0,4,327.0
对A市公交线路的建议,30,1,12,246.0
