问题,回复内容,相似度,ari,信息量,时间
A2区景蓉华苑物业管理有问题,"现将网友在平台《问政西地省》栏目向胡华衡书记留言反映“A2区景蓉花苑物业管理有问题”的调查核实情况向该网友答复如下：您好，首先感谢您对我们工作的信任和支持，关于您在平台栏目给胡华衡书记留言，反映“A2区景蓉花苑物业管理有问题”的情况已收悉。现将我们调查处理情况答复如下：经调查了解，针对来信所反映的“小区停车收费问题”，景蓉华苑业委会于2019年4月10日至4月27日以“意见收集方式”召开了业主大会，经业委会统计，超过三分之二的业主同意收取停车管理费，在业主大会结束后业委会也对业主提出的意见和建议进行了认真疏理归纳并进行了反馈，业委会制定的停车收费标准不高于周边小区价格。针对来信所反映的“物业公司去留问题”，5月5日下午,辖区桂花坪街道牵头组织社区、物业公司、业主委员会、业主代表的会议，区住房和城乡建设局也参加了会议。在综合各方面的意见后，辖区桂花坪街道、区住房和城乡建设局已要求业委会依法依规召开业主大会，根据业主大会的表决结果再执行相应的程序。再次感谢您对我区工作的理解和关心。2019年5月9日",0.3860643,26.01325471698113,1,15.0
A3区潇楚南路洋湖段怎么还没修好？,"网友“A00023583”：您好！针对您反映A3区潇楚南路洋湖段怎么还没修好的问题,A3区洋湖街道高度重视，立即组织精干力量调查处理，现回复如下：您反映的为潇楚大道西线道路工程项目，该项目位处于坪塘老集镇，目前正在进行土方及排水施工。因该项目为城市次大道，设计标准高，该段原路基土质较差，需整体换填，且换填后还有三趟雨污水管道施工，施工难度较大，周期较长。加之坪塘集镇原有管线、排水渠道较多，需先处理管线和渠道才能进行道路施工，且因近期持续雨天，为保证道路施工质量，需在晴好天气才能正常施工。目前该项目已完成75土方及50排水，预计今年8月底将完工通车。感谢您对我们工作的关心、监督与支持。2019年4月29日",0.17701264,11.537446043165467,1,14.0
请加快提高A市民营幼儿园老师的待遇,市民同志：你好！您反映的“请加快提高民营幼儿园教师的待遇”的来信已收悉。现回复如下：为了改善和提高民办幼儿园教师待遇，根据2019年1月8日出台的《中共A市委A市人民政府关于学前教育深化改革规范发展的实施意见》长发﹝2019﹞2号文件精神，对于学前教育教师的培养和待遇问题做出了明确要求。一是在提高教师待遇方面，依法保障民办幼儿园教职工待遇，民办幼儿园聘任教职工要依法签订劳动合同，依法缴纳城镇企业职工养老保险、医疗保险、生育保险、工伤保险、失业保险和住房公积金，民办园要参照当地公办园教师工资收入水平，合理确定相应教师的工资收入。二是加强监管协同推进，加强对民办幼儿园的日常监管和质量管理，保障民办幼儿园教师待遇，在完善人事（劳动）、工资待遇、社会保障和职称评聘等方面继续推进。谢谢您对我市学前教育的关注和支持！,0.40993443,25.134668674698794,1,14.0
在A市买公寓能享受人才新政购房补贴吗？,网友“A000110735”：您好！您在平台《问政西地省》上的留言已收悉，市住建局及时将您反映的问题交由市房屋交易管理中心办理。现将相关情况回复如下：按照《A市人才购房及购房补贴实施办法（试行）》第七条规定：新落户并在A市域内工作的全日制博士、硕士毕业生（不含机关事业单位在编人员），年龄35周岁以下（含），首次购房后，可分别申请6万元、3万元的购房补贴。“首次购房”是指在A市限购区域内首次购买商品住房（含住宅类公寓）。因此，如购买商业性质公寓（非商品住房），则不可申领购房补贴。以上情况，望您知晓和理解。如您还有疑问，建议可拨打市房屋交易管理中心咨询电话0000-00000000详询。特此回复！2019年4月30日,0.42274842,7.574123112659699,1,14.0
关于A市公交站点名称变更的建议,网友“A0009233”，您好，您的留言已收悉，现将具体内容答复如下：关于来信人建议“白竹坡路口”更名为“马坡岭小学”，原“马坡岭小学”取消，保留“马坡岭”的问题。公交站点的设置需要方便周边的市民出行，现有公交线路均使用该三处公交站站名，市民均已熟知，因此不宜变更。感谢来信人对我市公共交通的支持与关心。2019年5月5日,0.8545783,7.836041666666667,1,15.0
A3区含浦镇马路卫生很差,"网友“A00077538”：您好！针对您反映A3区含浦镇马路卫生很差的问题,A3区学士街道、含浦街道高度重视，现回复如下：您留言中反映的含浦镇在2013年已经析出两个街道，分别是学士街道和含浦街道，鉴于您问题中没有说明卫生较差的具体路段，也没有相应的参照物，同时您也未留下联系方式，请您看到回复后，致电学士街道0731-0000-00000000或者含浦街道0731-0000-00000000反映相关问题。感谢您对我们工作的关心、监督与支持。2019年4月24日",0.14623134,37.62888888888889,1,31.0
A3区教师村小区盼望早日安装电梯,"网友“A000100804”：您好！针对您反映A3区教师村小区盼望早日安装电梯的问题,A3区住建局高度重视，立即组织精干力量调查处理，现回复如下：为了完善住宅使用功能，提高我区既有多层住宅居民的宜居水平，2018年6月7日，A市A3区人民政府办公室下发了《关于A市A3区既有多层住宅增设电梯实施方案》的通知。该方案明确了增设电梯条件及流程。详情可咨询政务服务中心住建局受理申请老旧小区加装电梯窗口，咨询电话：0000-00000000。感谢您对我们工作的关心、监督与支持。2019年4月2日",0.43694302,12.131184210526314,1,40.0
反映A5区东澜湾社区居民的集体民生诉求,网友“UU00812”您好！您的留言已收悉。现将有关情况回复如下：一、关于小区附近幼儿园的问题。经A5区教育局、黎托街道核实，东澜湾幼儿园属于江河东澜湾小区配套幼儿园，由A市江河水利置业投资发展有限公司开发。该园主体建筑于2018年11月建设完工，建筑面积2240平方米，规划9个班，根据《A市A5区城镇小区配套幼儿园专项整治工作方案》文件精神，A5区教育局和A市江河水利置业投资发展有限公司于2018年10月19日签署配套幼儿园移交协议。根据协议规定，该园整体移交给A5区教育局（整体建设完工后办成公立幼儿园或普惠制幼儿园）。由于该园内部功能布局规划方案尚在审批当中，未达到开园要求。区教育局已启动二次装修前期准备及设施设备采购等工作。下一步，街道将督促开发商尽快完成内部功能布局建设，尽快竣工验收投入使用。二、关于东澜湾社区医疗卫生服务的问题。经A5区卫计局核实，2018年6月在黎托街道粟塘社区综合楼开设黎托街道基成社区卫生服务中心（健康热线0731-0000-00000000），距离东澜湾小区4公里左右，中心可为黎托街道及周边辖区居民提供基本公共卫生服务和基本医疗服务。距东澜湾小区1公里左右设有花桥村卫生室、花桥门诊部、沙湾门诊部等医疗机构，可提供医疗服务，建议可前往以上卫生服务机构就医。此外，A5区政府在劳动路与红旗路交汇处西南角规划再建设一所社区卫生中心，目前正在拆迁腾地。感谢您对我们工作的支持、理解与监督！2019年1月15日,0.23403132,7.969000000000001,1,28.0
反映A市美麓阳光住宅楼无故停工以及质量问题,网友“UU008792”您好！您的留言已收悉。现将有关情况回复如下：据查，美麓阳光项目位于A3区枫林路，建筑面积25613.32平方米，a、b两栋共226户。建设单位为西地省悦华星城置业有限公司，施工单位为西地省新明园林建设集团有限公司。目前为装饰装修阶段，由于建设单位与施工单位的经济纠纷，该项目于2018年11月8日停工至今。该项目由于开发商西地省悦华星城置业有限公司和施工单位西地省新明园林建设集团有限公司存在资金拨付纠纷，造成施工单位于2018年11月8日全面停工。2018年11月20日，在责任单位落实分户检查后，西地省楚江新区建设工程质量安全督查站监督人员召集建设方、施工方、监理方、项目所在街道办等相关单位召开质量问题处理会议以及停工协调会议，要求责任单位尽快制定整改方案，将质量问题整改到位，并建议建设单位与施工单位进行友好协商，争取项目早日复工。待项目复工后，楚江新区相关职能部门将督促建设单位组织施工、监理、设计等责任主体方制定整改方案，对存在的质量问题进行全面整改。在未整改到位之前，楚江新区建设工程质量安全督查站将不同意竣工验收。感谢您对我们工作的支持、理解与监督！2019年1月11日,0.33313867,13.005744680851066,1,16.0
反映A市洋湖新城和顺路洋湖壹号小区路段公共绿化带的问题,网友“UU008687”您好！您的留言已收悉。现将有关情况回复如下：您所反映的地点为洋湖新城片区和顺路两厢，北至先导路，南至建兴路，全长301米，道路两侧绿化带宽20米。目前，沿行车道两侧栽种了行道树，其余部分也按规划要求完成了建设，其中西边绿化带面积约6000平方米，由于整体为洋湖壹号小区配建，权属为全体业主，目前按6大块造型建设，绿化标准符合原先规划设计要求；东边绿化带约6000m2按园林景观路标准建设。感谢您对我们工作的支持、理解与监督！,0.4129682,17.741764705882353,1,16.0
