赞成数,反对数,留言数,持续时长,问题描述
0,0,1,1,A3区一米阳光婚纱艺术摄影是否合法纳税了？
2,0,1,1,咨询A6区道路命名规划初步成果公示和城乡门牌问题
2,0,1,1,反映A7县春华镇金鼎村水泥路、自来水到户的问题
2,0,1,1,A2区黄兴路步行街大古道巷住户卫生间粪便外排
0,0,4,28.0,A市A3区中海国际社区三期与四期中间空地夜间施工噪音扰民
0,0,1,1,A3区麓泉社区单方面改变麓谷明珠小区6栋架空层使用性质
0,0,3,21.0,A2区富绿新村房产的性质是什么？
0,0,1,1,对A市地铁违规用工问题的质疑
0,0,1,1,A市6路公交车随意变道通行
0,0,2,162.0,A3区保利麓谷林语桐梓坡路与麓松路交汇处地铁凌晨2点施工扰民
0,0,3,183.0,A7县特立路与东四路口晚高峰太堵，建议调整信号灯配时
0,0,1,1,A3区青青家园小区乐果果零食炒货公共通道摆放空调扰民
4,4,5,182.0,关于拆除聚美龙楚在西地省商学院宿舍旁安装变压器的请求
0,0,1,1,A市利保壹号公馆项目夜间噪声扰民
8,0,4,199.0,A市地铁3号线星沙大道站地铁出入口设置极不合理！
6,4,2,16.0,A4区北辰小区非法住改商问题何时能解决？
0,0,2,1,请给K3县乡村医生发卫生室执业许可证
4,0,1,1,A7县春华镇石塘铺村有党员家开麻将馆
0,0,1,1,咨询异地办理出国签证的问题
6,0,4,246.0,投诉A市温斯顿英语培训学校拖延退费！
0,0,1,1,A6区乾源国际广场停车场违章乱建现象严重
0,0,1,1,A7县时代星城4幢有非法经营的家庭旅馆
0,0,1,1,A2区佳兆业水新都小区垃圾无人处理
0,0,1,1,A市沙坪老街上有无证理疗馆骗取老人钱财
0,0,1,1,A市德鸿餐饮店拖欠工资，员工维权难
0,0,6,158.0,A市长房云时代小区三期后面要建垃圾站？
2,0,1,1,A市松雅湖东方航标2栋2楼有传销窝点
130,0,6,51.0,希望A市政府出台解决落实退休教师各项补贴的长效办法
2,0,2,169.0,举报A市仕弘教育等培训机构涉嫌欺诈
10,0,3,158.0,A2区政府东门至万芙路段经常有改装车飙车，真的很扰民
0,0,1,1,请依法解决A7县黄花镇梁坪村黄泥岭山地建房问题
2,0,1,1,A7县橄榄城小区的孩子到泉塘小学上学不方便
14,0,29,32.0,投诉滨河苑针对广铁职工购房的霸王规定
40,4,27,52.0,A市万家丽南路丽发新城居民区附近搅拌站扰民
2,0,2,1.0,A市星沙城区旧城区棚户改造项目范围是什么？
10,0,3,15.0,A2区先锋派出所办个签证，拒收现金
0,0,2,5.0,A3区谷园路39号维也纳智好酒店有卖淫团伙
0,0,1,1,咨询A7县榔梨龙华安置区外围马路修复问题
100,4,16,175.0,关于A7县恒基凯旋门万婴格林幼儿园办普惠园的咨询
0,0,1,1,票牛A市分公司不肯退我草莓音乐节的票钱怎么办
0,0,1,1,A市A1区纬二路上有两种处罚标准？
0,0,1,1,A市C5市中路798号恩皇建材店私自占用消防通道
2,0,1,1,中建嘉和城存在严重设计问题
0,0,1,1,A市内道路坑洼多且深
0,0,2,1,A4区楚江北路能走大货车吗
2,0,1,1,A2区猴子石大桥下公交车经常乱停乱放
4,0,3,140.0,A3区积溪路颐美幼儿园门口路段收费停车合法吗
0,0,10,203.0,A3区西湖街道茶场村五组什么时候能启动征地拆迁
10,2,2,19.0,A市融圣国际长城物业动用水枪、灭火器在小区内斗殴
0,0,3,147.0,A3区咸嘉湖西路车辆违停及占道经营乱象为何久治无效
6,0,4,138.0,A市人才购房补贴申请是否与单位注册地有关？
0,0,2,70.0,A市北辰三角洲奥城E4区1栋4003房被改建成群租房
0,0,1,1,建议在“我的A市”app中尽快接入法律服务的意见
0,0,1,1,咨询A市对残疾人有什么扶持政策？
0,0,4,231.0,A市南站里面的12306客服虚设
4,0,1,1,A市磁悬浮列车只能现金支付很不方便
0,0,1,1,反映A2区卢富原著学区划分不合理的问题
4,0,3,123.0,A4区东风街道蚌塘社区自来水管网改造设计存在严重缺陷
0,0,3,108.0,A市万科魅力之城商铺无排烟管道，小区内到处油烟味
0,0,1,1,A3区云栖路云栖谷小区辅道好多乱停车的
0,0,1,1,对A8县高新区复兴-艾家冲Ⅰ、Ⅱ线500kV线路杆迁工程临近居民区的质疑
0,0,1,1,A1区桐阴里小区一直夜间施工
0,0,2,32.0,A市中航城三期复式楼34层高楼用1.2的栏杆作为生命的屏障，可靠吗？
10,12,2,1.0,A市限卖房产政策一刀切
10,12,3,104.0,）
0,0,1,1,A7县路口镇黄兴大道与路青线交叉路口的红绿灯错乱
0,0,1,1,A市美联嘉园物业私下变卖产权不明的地下车库
0,0,1,1,A市南郡明珠业主8年了都没有房产证
0,0,1,1,A7县星沙恒基凯旋门房屋漏水问题一直没解决
0,0,2,21.0,A市民年龄与身份证不符，可以办理退休吗？
10,0,3,301.0,A7县泉塘泉星社区力都大厦旁新规划的菜市场什么时候启用？
10,0,3,3.0,能不能在A3区麓山国际实验小学附近建个天桥
0,0,2,2.0,A3区欣胜园小区急需水改电改和车位改造
0,0,1,1,A市新奥燃气服务态度差
