赞成数,反对数,留言数,持续时长,问题描述
0,0,0,1,反对滨河苑房子和车位捆绑销售
0,0,0,1,无视职工意愿、职工权益的A市伊景园滨河苑车位捆绑销售行为
0,0,0,1,"武广新城伊景园滨河苑违法捆绑销售车位,求解决"
0,0,0,1,反馈广铁集团铁路职工定向商品房的一些问题
0,0,0,1,广铁集团职工商品房竟然捆绑销售
0,0,0,1,武广新城伊景园滨河苑商品房霸王购房规定
0,0,0,1,惊！！A市伊景园滨河苑商品房竟然捆绑销售车位
0,0,0,1,投诉伊景园滨河苑捆绑销售车位问题
0,0,0,1,违反自由买卖的A市伊景园滨河苑车位捆绑销售行为
1,0,0,1,投诉伊景园滨河苑项目违法捆绑车位销售
0,0,0,1,广铁集团强制职工购房时捆绑购买车位
0,0,0,1,"不需要车位,不想白扔12万"
0,0,0,1,强行要求捆绑车位，请有关政府部门为民做主
1,0,0,1,请维护铁路职工权益取消伊景园滨河苑捆绑销售车位的要求
0,0,0,1,无视消费者权益的A市伊景园滨河苑车位捆绑销售行为
0,0,0,1,A市广铁管辖范围内取得购房资格的职工购房为何还要绑定买车位？
0,0,0,1,A市伊景园滨河苑定向限价商品房项目违规捆绑销售车位
0,0,0,1,投诉武广新城伊景园滨河苑为广铁集团的定向商品房
1,0,0,1,A市伊景园滨河苑捆绑销售车位
3,0,0,1,关于房伊景园滨河苑销售若干问题的投诉
0,0,0,1,广铁集团要求员工购房时必须同时购买车位
0,0,0,1,伊景园滨河苑项目绑定车位出售是否合法合规
0,0,0,1,A市武广新城坑客户购房金额并且捆绑销售车位
0,0,0,1,伊景园滨河苑强行捆绑车位销售给业主
1,0,0,1,伊景园滨河苑捆绑车位销售合法吗？！
0,0,0,1,关于A市武广新城违法捆绑销售车位的投诉
0,0,0,1,关于广铁集团铁路职工定向商品房伊景园滨河苑项目的问题
0,0,0,1,关于伊景园滨河苑捆绑销售车位的维权投诉
14,0,29,32.0,投诉滨河苑针对广铁职工购房的霸王规定
